,Number of Tech Workers,Number of Tech Workers - round,Goal,Percent of Goal,Date,Source Name,Source URL,Source Page
0,980506,980K,1200000,82,FY2024,"Department of Industry, Science & Resources Annual Report 2023-2024",https://www.industry.gov.au/sites/default/files/2024-10/disr-annual-report-2023-24.pdf,39
1,944996,945K,1200000,78,FY2023,"Department of Industry, Science & Resources Annual Report 2023-2024",https://www.industry.gov.au/sites/default/files/2024-10/disr-annual-report-2023-24.pdf,39
