,Metric,Measurement,Rank Order,Label,Salary,Job Title,Level,Country,URL,Source URL,Source Name,Source Description
143,Top Location,Ranking,3.0,Sydney,134350,Security Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
151,Top Location,Ranking,1.0,Brisbane,157918,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
152,Top Location,Ranking,2.0,Melbourne,142324,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
153,Top Location,Ranking,3.0,Sydney,134350,Security Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/security-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
168,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
169,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
170,Top Location,Ranking,3.0,Sydney,126853,Product Designer,All,Australia,https://www.levels.fyi/en-gb/t/product-designer/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
178,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
179,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
180,Top Location,Ranking,3.0,Sydney,126853,Product Designer,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
188,Top Location,Ranking,1.0,Brisbane,186199,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
189,Top Location,Ranking,2.0,Melbourne,147440,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
190,Top Location,Ranking,3.0,Sydney,126853,Product Designer,Senior,Australia,https://www.levels.fyi/en-gb/t/product-designer/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
220,Top Location,Ranking,1.0,Sydney,137084,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
221,Top Location,Ranking,2.0,Melbourne,127611,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
222,Top Location,Ranking,3.0,Brisbane,93341,Data Analyst,All,Australia,https://www.levels.fyi/en-gb/t/data-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
230,Top Location,Ranking,1.0,Sydney,137084,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
231,Top Location,Ranking,2.0,Melbourne,127611,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
232,Top Location,Ranking,3.0,Brisbane,93341,Data Analyst,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
240,Top Location,Ranking,1.0,Sydney,137084,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
241,Top Location,Ranking,2.0,Melbourne,127611,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
242,Top Location,Ranking,3.0,Brisbane,93341,Data Analyst,Senior,Australia,https://www.levels.fyi/en-gb/t/data-analyst/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
316,Top Location,Ranking,1.0,Sydney,179852,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
317,Top Location,Ranking,2.0,Perth,171451,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
318,Top Location,Ranking,3.0,Melbourne,161774,Product Manager,All,Australia,https://www.levels.fyi/en-gb/t/product-manager/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
326,Top Location,Ranking,1.0,Sydney,179852,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
327,Top Location,Ranking,2.0,Perth,171451,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
328,Top Location,Ranking,3.0,Melbourne,161774,Product Manager,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
336,Top Location,Ranking,1.0,Sydney,179852,Product Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
337,Top Location,Ranking,2.0,Perth,171451,Product Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
338,Top Location,Ranking,3.0,Melbourne,161774,Product Manager,Senior,Australia,https://www.levels.fyi/en-gb/t/product-manager/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
354,Top Location,Ranking,1.0,Sydney,242039,Solution Architect,All,Australia,https://www.levels.fyi/en-gb/t/solution-architect/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
355,Top Location,Ranking,2.0,Brisbane,228153,Solution Architect,All,Australia,https://www.levels.fyi/en-gb/t/solution-architect/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
356,Top Location,Ranking,3.0,Melbourne,212722,Solution Architect,All,Australia,https://www.levels.fyi/en-gb/t/solution-architect/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
364,Top Location,Ranking,1.0,Sydney,239398,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
365,Top Location,Ranking,2.0,Brisbane,228153,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
366,Top Location,Ranking,3.0,Melbourne,212722,Solution Architect,Entry-Level,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/entry-level/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
374,Top Location,Ranking,1.0,Sydney,242039,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
375,Top Location,Ranking,2.0,Brisbane,228153,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
376,Top Location,Ranking,3.0,Melbourne,212722,Solution Architect,Senior,Australia,https://www.levels.fyi/en-gb/t/solution-architect/levels/senior/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
384,Top Location,Ranking,1.0,Brisbane,146855,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
385,Top Location,Ranking,2.0,Melbourne,128744,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
386,Top Location,Ranking,3.0,Sydney,114538,Business Analyst,All,Australia,https://www.levels.fyi/en-gb/t/business-analyst/locations/australia,levels.fyi,Levels.FYI,Self-reported data of tech workers in tech companies.
